>>> Place micromouse at 10 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 10 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
100,45,10,16,901,1492
100,46,10,15,899,1493
100,47,10,15,902,1492
100,48,9,15,896,1490
100,49,10,15,905,1490
100,50,10,16,897,1490
--- 100 mm Summary | Avg: L=9 FL=14 FR=900 R=1490 ---

========================================
>>> Place micromouse at 110 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 110 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
110,1,10,17,737,1299
110,2,10,16,731,1300
110,3,10,14,735,1302
110,4,10,13,735,1298
110,5,10,16,738,1299
110,6,10,14,736,1301
110,7,10,13,734,1298
110,8,10,15,731,1300
110,9,10,16,735,1300
110,10,9,14,736,1301
110,11,9,14,734,1299
110,12,10,13,730,1302
110,13,10,15,738,1301
110,14,10,15,734,1299
110,15,10,15,730,1301
110,16,10,14,735,1300
110,17,10,14,734,1301
110,18,10,13,732,1298
110,19,10,13,734,1300
110,20,9,15,735,1299
110,21,9,15,730,1300
110,22,10,16,736,1301
110,23,10,15,735,1299
110,24,10,14,729,1300
110,25,10,14,739,1296
110,26,10,13,734,1299
110,27,10,13,733,1300
110,28,10,14,736,1299
110,29,10,13,732,1302
110,30,9,12,735,1300
110,31,10,13,733,1299
110,32,10,14,732,1301
110,33,10,14,737,1298
110,34,10,14,731,1301
110,35,10,15,737,1300
110,36,10,15,733,1302
110,37,9,16,734,1298
110,38,10,16,734,1299
110,39,10,16,731,1301
110,40,9,16,737,1299
110,41,10,16,730,1301
110,42,10,16,738,1300
110,43,10,16,733,1301
110,44,10,16,735,1299
110,45,10,16,734,1299
110,46,10,16,735,1300
110,47,10,15,734,1299
110,48,10,15,734,1301
110,49,10,15,735,1300
110,50,10,15,730,1301

========================================
>>> Place micromouse at 120 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 120 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
120,1,10,14,608,1118
120,2,10,14,608,1113
120,3,10,13,605,1114
120,4,10,15,606,1115
120,5,10,15,601,1116
120,6,9,14,601,1117
120,7,10,13,607,1116
120,8,10,15,606,1117
120,9,10,14,606,1117
120,10,10,14,602,1115
120,11,10,14,609,1117
120,12,10,13,604,1116
120,13,10,15,602,1117
120,14,9,16,604,1117
120,15,10,14,608,1116
120,16,10,14,605,1116
120,17,10,14,603,1115
120,18,10,13,610,1117
120,19,10,13,605,1116
120,20,10,15,602,1118
120,21,10,15,609,1116
120,22,10,16,604,1115
120,23,9,15,606,1115
120,24,9,14,605,1115
120,25,10,15,601,1117
120,26,10,14,607,1117
120,27,10,14,604,1117
120,28,10,14,603,1117
120,29,10,14,608,1114
120,30,10,13,603,1116
120,31,10,14,606,1116
120,32,10,13,605,1117
120,33,10,13,603,1116
120,34,10,14,606,1117
120,35,10,14,601,1111
120,36,10,15,609,1115
120,37,10,15,605,1117
120,38,10,15,605,1116
120,39,10,15,604,1117
120,40,9,15,604,1116
120,41,10,14,605,1114
120,42,10,15,602,1115
120,43,10,15,606,1115
120,44,10,15,602,1117
120,45,9,15,610,1116
120,46,10,14,601,1117
120,47,10,14,610,1117
120,48,10,13,604,1116
120,49,10,13,609,1116
120,50,10,13,604,1116
--- 120 mm Summary | Avg: L=9 FL=14 FR=605 R=1115 ---

========================================
>>> Place micromouse at 130 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 130 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
130,1,10,18,494,963
130,2,10,15,493,966
130,3,10,14,494,965
130,4,10,15,495,965
130,5,10,15,490,965
130,6,10,14,489,967
130,7,10,13,485,967
130,8,9,14,490,965
130,9,10,16,491,966
130,10,10,14,489,965
130,11,10,14,485,968
130,12,10,13,493,966
130,13,10,15,488,967
130,14,10,16,485,967
130,15,10,15,490,966
130,16,10,14,490,966
130,17,10,13,485,966
130,18,10,13,491,968
130,19,10,13,490,966
130,20,10,13,485,967
130,21,10,13,493,966
130,22,10,15,488,966
130,23,10,15,488,966
130,24,10,16,491,966
130,25,9,15,485,967
130,26,10,15,492,967
130,27,10,14,489,966
130,28,9,14,488,967
130,29,9,13,490,965
130,30,10,14,485,967
130,31,10,14,493,967
130,32,10,14,488,967
130,33,10,14,487,967
130,34,9,14,489,965
130,35,10,14,488,968
130,36,10,14,490,966
130,37,9,13,484,966
130,38,9,13,493,967
130,39,10,13,485,968
130,40,10,14,494,968
130,41,9,14,487,966
130,42,10,14,493,967
130,43,10,14,490,966
130,44,10,14,489,968
130,45,10,13,489,967
130,46,10,14,489,967
130,47,10,14,490,967
130,48,10,14,490,966
130,49,10,14,489,968
130,50,10,14,490,967
--- 130 mm Summary | Avg: L=9 FL=14 FR=489 R=966 ---

========================================
>>> Place micromouse at 140 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 140 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
140,1,10,18,341,813
140,2,10,14,334,815
140,3,10,14,333,815
140,4,10,14,329,814
140,5,10,14,333,814
140,6,10,13,333,814
140,7,10,15,331,814
140,8,10,13,326,814
140,9,10,13,331,816
140,10,10,13,335,815
140,11,10,14,330,816
140,12,10,15,328,815
140,13,10,15,335,815
140,14,10,14,331,815
140,15,10,14,327,815
140,16,10,14,335,816
140,17,10,12,331,815
140,18,10,14,326,816
140,19,10,14,335,815
140,20,10,15,331,814
140,21,10,16,330,815
140,22,9,15,332,815
140,23,10,14,329,816
140,24,9,14,331,815
140,25,10,14,331,815
140,26,10,14,329,816
140,27,10,14,333,814
140,28,10,14,327,816
140,29,10,13,334,815
140,30,10,13,331,816
140,31,10,13,331,815
140,32,10,13,331,814
140,33,10,13,328,815
140,34,10,13,333,814
140,35,10,13,327,816
140,36,10,12,335,815
140,37,10,12,329,816
140,38,10,12,335,815
140,39,10,13,330,815
140,40,10,12,334,815
140,41,10,12,331,815
140,42,10,13,332,816
140,43,10,14,331,815
140,44,9,13,330,816
140,45,10,14,331,815
140,46,10,14,331,814
140,47,10,14,331,815
140,48,10,14,331,815
140,49,10,14,331,816
140,50,10,14,332,816
--- 140 mm Summary | Avg: L=9 FL=13 FR=331 R=815 ---

>>> Place micromouse at 150 mm <<<
Press button to start 5s sampling (Long press to exit)
========================================
--- Sampling 150 mm (5s @ 100ms) ---
Dist_mm,Sample,L,FL,FR,R
150,1,9,18,166,721
150,2,10,15,167,724
150,3,10,13,166,724
150,4,10,13,164,724
150,5,9,13,168,723
150,6,10,15,164,724
150,7,10,14,162,725
150,8,10,14,162,724
150,9,9,14,168,725
